t_sec,ABack_x,ABack_y,ABack_z
761.13,-1.013672,-1.47168,2.17334
761.14,-0.492676,-1.441406,1.493652
761.15,-0.088867,-1.054199,1.172363
761.16,0.020508,-0.660645,0.969238
761.17,0.132324,-0.387695,0.669434
761.18,0.458984,-0.221191,0.371094
761.19,0.864258,-0.069336,0.22168
761.2,1.037598,-0.039551,0.07373
761.21,0.770508,-0.176758,-0.129395
761.22,0.258789,-0.254883,-0.126465
761.23,0.018555,-0.120605,-0.154297
761.24,-0.022461,0.165039,-0.018066
761.25,0.092285,0.493164,0.191406
761.26,0.3125,0.697266,0.208496
761.27,0.459961,0.501953,-0.023926
761.28,0.500488,0.176758,0.145508
761.29,0.674805,0.02832,0.774414
761.3,1.053711,0.131348,1.855957
761.31,1.383301,0.141113,2.021484
761.32,1.402344,-0.060547,2.068359
761.33,1.489746,-0.211426,2.189453
761.34,1.705078,-0.437012,1.95459
761.35,1.935059,-0.585449,3.738281
761.36,0.787109,-0.90918,0.633789
761.37,0.550781,-1.009766,1.427734
761.38,0.308105,-0.970215,1.024414
761.39,0.081055,-0.74707,0.797852
761.4,-0.239746,-0.379883,0.70752
761.41,-0.560059,-0.077148,0.353027
761.42,-0.68457,-0.010254,-0.011719
761.43,-0.704102,-0.103027,-0.14502
761.44,-0.494629,-0.237305,-0.096191
761.45,-0.26416,-0.134766,-0.125977
761.46,-0.206543,0.107422,-0.064941
761.47,-0.286133,0.344238,0.196777
761.48,-0.398926,0.474121,0.36084
761.49,-0.540527,0.616211,0.910645
761.5,-0.823242,0.709473,1.368164
761.51,-1.212402,0.571777,1.473145
761.52,-1.492188,0.402344,1.562988
761.53,-1.374512,0.207031,1.67627
761.54,-1.086914,-0.193359,2.001953
761.55,-1.061523,-0.654785,2.468262
761.56,-0.831055,-0.962402,2.360352
761.57,-0.345703,-1.014648,1.992188
761.58,0.119629,-0.894043,1.536621
761.59,0.388184,-0.831055,1.165527
761.6,0.464844,-0.88916,1.07666
761.61,0.475586,-0.960449,0.853516
761.62,0.625977,-0.895996,0.559082
761.63,0.814453,-0.694824,0.331543
761.64,0.578613,-0.48584,-0.062012
761.65,0.115234,-0.375,0.005371
761.66,-0.189941,-0.087402,-0.157715
761.67,-0.202148,0.251465,0.078613
761.68,-0.060059,0.455566,0.210449
761.69,0.117676,0.560547,0.225586
761.7,0.254883,0.607422,0.091309
761.71,0.263672,0.5,-0.050781
761.72,0.129883,0.291504,-0.01123
761.73,0.079102,0.087402,0.374512
761.74,0.333008,0.174805,1.126465
761.75,0.621582,0.233398,1.833984
761.76,0.737793,0.196777,2.184082
761.77,1.012207,-0.083496,2.643555
761.78,1.321777,-0.363281,2.15625
761.79,1.070313,-1.335449,1.587891
761.8,0.660156,-0.509766,1.438477
761.81,0.556641,-0.618652,1.366211
761.82,0.531738,-0.948242,1.157227
761.83,0.446289,-1.052246,1.058594
761.84,0.244141,-0.791992,1.024414
761.85,-0.155273,-0.520996,0.808105
761.86,-0.345215,-0.337402,0.353027
761.87,-0.362793,-0.183105,-0.212891
761.88,-0.175293,-0.062012,-0.152832
761.89,0.102051,0.020508,-0.015625
761.9,0.189453,0.311523,0.011719
761.91,-0.006348,0.673828,0.124512
761.92,-0.36084,0.858887,0.368652
761.93,-0.69043,1.027832,0.950195
761.94,-1.141113,0.854492,1.195801
761.95,-1.32666,0.595703,1.15918
761.96,-1.193359,0.280762,1.56543
761.97,-0.939453,-0.442383,2.270996
761.98,-1.344727,-0.744141,2.69043
761.99,-1.056152,-1.135742,1.993164
762.0,-0.689941,-1.172363,1.960449
762.01,-0.48291,-0.880859,1.739258
762.02,-0.14209,-0.597656,1.358398
762.03,0.234863,-0.453125,1.065918
762.04,0.456055,-0.521973,0.959473
762.05,0.625977,-0.64502,0.739258
762.06,0.804199,-0.605957,0.422852
762.07,0.840332,-0.489258,0.299805
762.08,1.139648,-0.402832,0.031738
762.09,0.959473,-0.23584,-0.052246
762.1,0.491699,-0.108398,-0.207031
762.11,0.064453,-0.078613,-0.114746
762.12,-0.026367,-0.007813,0.307129
762.13,-0.030762,0.126465,0.21582
762.14,-0.009277,0.27002,0.185547
762.15,-0.087402,0.184082,0.152832
762.16,-0.079102,-0.03125,0.231934
